unique_id,ME,MAE,RMSE,MAPE,model
hotel_14,0.001212938005390832,0.11859838274932614,0.1574652368581609,18.367868999486404,SeasonalNaive
hotel_21,0.015906084656084663,0.0462632275132275,0.07738250688078166,4.870432115496732,SeasonalNaive
hotel_28,0.00880952380952381,0.00880952380952381,0.0633709161672215,100.0,SeasonalNaive
hotel_35,0.08162667410714286,0.16823381696428572,0.19810813113409184,23.742467823317703,SeasonalNaive
hotel_42,0.05786581839213419,0.29170040485829957,0.3568743649049122,52.40136821985306,SeasonalNaive
hotel_49,-0.046412975670617584,0.09320024953212727,0.11934837574446511,13.613257297216496,SeasonalNaive
hotel_56,0.00363095238095238,0.06244047619047619,0.10659083986373849,7.173466463619837,SeasonalNaive
hotel_63,0.028063492063492068,0.17936507936507934,0.22681227815929525,26.866369407690144,SeasonalNaive
hotel_7,-0.04416007445323406,0.1419962773382969,0.17945245516275857,34.58506950949234,SeasonalNaive
hotel_70,0.05294486215538848,0.10983709273182958,0.1404154769878485,26.4936954149954,SeasonalNaive
hotel_77,-2.51067034898318e-05,0.0014812955059000754,0.002794636627535904,108.1045751633987,SeasonalNaive
hotel_84,0.031389026198714774,0.15748887790410282,0.1960309810477694,22.92448020046254,SeasonalNaive
hotel_91,0.027929373996789724,0.19357945425361156,0.24776673069936608,25.258968497667112,SeasonalNaive
hotel_98,0.008640552995391704,0.1476958525345622,0.20490854791170643,69.83018434199327,SeasonalNaive
hotel_0,-0.05037246926853514,0.19603212961630628,0.24774602717609634,33.5405459198816,AutoETS
hotel_105,0.03976416832113809,0.10714308079334321,0.1279129151527459,13.397675304038827,AutoETS
hotel_112,0.030080292313394277,0.1036604753717669,0.12323739961770727,12.061158668139887,AutoETS
hotel_126,-0.006657894560229071,0.03730894728612922,0.06537036870234261,4.362526009902757,AutoETS
hotel_133,-0.01274226221941375,0.09973865761382197,0.13228250640299538,12.791574918201288,AutoETS
hotel_14,-0.008895497793920683,0.11928733688477,0.15207775641115742,19.120322732312754,AutoETS
hotel_21,-0.014583690308297073,0.029228910199067367,0.05119996602607308,3.262449486628621,AutoETS
hotel_28,0.008809523809418908,0.00880952380962871,0.0633709161672215,100.0,AutoETS
hotel_35,0.13834890537647498,0.1659857787212462,0.19854986502760025,22.062485616974534,AutoETS
hotel_42,0.0634886291089252,0.25616746952528785,0.30226257560640046,47.29571764063438,AutoETS
hotel_49,-0.07942827208501303,0.09571111618368705,0.12080968314360027,14.257540167195529,AutoETS
hotel_56,-0.005814264658557282,0.05863071127427942,0.09056881078744561,6.905009299354384,AutoETS
hotel_63,0.015473820910002902,0.1631987145072817,0.19266077674517593,25.337342505593107,AutoETS
hotel_7,-0.15723619444457182,0.18164087940087978,0.23373489086129923,50.476785425904545,AutoETS
hotel_70,-0.2681004284661314,0.27153034102233514,0.3354796363798412,72.09674818137424,AutoETS
hotel_77,-0.001481892166474622,0.00256145529188284,0.004452192071742749,181.34302716943188,AutoETS
hotel_84,0.03057432088540176,0.15211321783059642,0.18305139837562745,23.231909143175862,AutoETS
hotel_91,-0.02622851895954821,0.15009693942311425,0.20366964085274863,21.961698556328017,AutoETS
hotel_98,-0.06301278695392187,0.18467536795276704,0.2172224529460042,108.56402606262753,AutoETS
hotel_0,-0.03598412496129339,0.17383222415943145,0.21953253901597894,29.675832311224475,AutoARIMA
hotel_105,0.04624136842192014,0.10516143387676072,0.1257933482606296,12.995738822400082,AutoARIMA
hotel_112,0.018158569882853793,0.09104203836174807,0.10686863043219601,10.696955762028045,AutoARIMA
hotel_126,0.019273062419502718,0.05244690526213668,0.07191329614848262,5.752477458602264,AutoARIMA
hotel_133,0.04131381646261149,0.1132854918623804,0.1405842051326736,13.895402095211423,AutoARIMA
hotel_14,-0.01935633262256968,0.1108214531941582,0.1401413896680305,17.96211875267081,AutoARIMA
hotel_21,0.006020153553574267,0.0376106771848339,0.052744608147329994,4.066005106128435,AutoARIMA
hotel_28,0.043914372345287854,0.043914372345287854,0.07946591661352188,400.6631677115542,AutoARIMA
hotel_35,0.12926019942717223,0.16784512374123997,0.20225706024102094,22.458591484909007,AutoARIMA
hotel_42,0.04361783620617285,0.21950733629854907,0.24872025940550335,41.52075886203799,AutoARIMA
hotel_49,-0.04924897427438029,0.08140191134015934,0.10527086083831823,12.009054199228741,AutoARIMA
hotel_56,0.007084285715609568,0.06818890474189974,0.08849547835959846,7.838883350726154,AutoARIMA
hotel_63,0.018224739171474682,0.1612815913064165,0.18909289369325163,24.922110347229886,AutoARIMA
hotel_7,-0.06924853344694393,0.1530099941244996,0.1891863127903184,39.99753762105917,AutoARIMA
hotel_70,0.05114474386032457,0.09296976348323543,0.11820439984521389,21.784893794211747,AutoARIMA
hotel_77,-0.0009565728867308254,0.002113554123040371,0.003275989856421442,142.65499065837074,AutoARIMA
hotel_84,0.04715350768293582,0.14791517202507526,0.18039705979983717,21.431318077140872,AutoARIMA
hotel_91,0.02257432524302185,0.15733858244494445,0.19001324842664752,21.60504427362319,AutoARIMA
hotel_98,0.0077506378164656905,0.14582347819757654,0.17844758098640975,75.2971639229722,AutoARIMA
