unique_id,ds,cutoff,y,Naive,SeasonalNaive,AutoETS,AutoARIMA,xgboost,NBEATS,NHITS
hotel_14,2023-04-05,2023-03-10,0.8679245283018868,0.8867924528301887,0.7830188679245284,0.776697105045265,0.7511813304815821,0.7594671,0.7921034,0.7295716
hotel_14,2023-04-06,2023-03-10,0.7264150943396226,0.8867924528301887,0.7830188679245284,0.776697105045265,0.7509881478944705,0.7697236,0.84576994,0.9020746
hotel_14,2023-04-07,2023-03-10,0.7169811320754716,0.8867924528301887,0.8867924528301887,0.776697105045265,0.7504590665227585,0.8755241,0.9258005,0.9445175
hotel_14,2023-04-08,2023-04-07,0.7452830188679245,0.7169811320754716,0.8867924528301887,0.7352899931741916,0.7474907626791967,0.81214744,0.87824327,0.79271513
hotel_14,2023-04-09,2023-04-07,0.5188679245283019,0.7169811320754716,0.6037735849056604,0.7352899931741916,0.7266215011975679,0.58547676,0.6497602,0.62823284
hotel_14,2023-04-10,2023-04-07,0.7735849056603774,0.7169811320754716,0.6792452830188679,0.7352899931741916,0.7418278444394593,0.6851696,0.80607563,0.8107655
hotel_14,2023-04-11,2023-04-07,0.8207547169811321,0.7169811320754716,0.7830188679245284,0.7352899931741916,0.7296660555910081,0.7174695,0.8959727,0.8628334
hotel_14,2023-04-12,2023-04-07,0.8113207547169812,0.7169811320754716,0.8679245283018868,0.7352899931741916,0.7402925964362432,0.78949124,0.86175835,0.83108234
hotel_14,2023-04-13,2023-04-07,0.7830188679245284,0.7169811320754716,0.7264150943396226,0.7352899931741916,0.731900577216501,0.7667677,0.8368928,0.79988873
hotel_14,2023-04-14,2023-04-07,0.8773584905660378,0.7169811320754716,0.7169811320754716,0.7352899931741916,0.7393393524393739,0.8561605,0.8444562,0.87597686
hotel_14,2023-04-15,2023-04-07,0.8584905660377359,0.7169811320754716,0.8867924528301887,0.7352899931741916,0.7335612046676778,0.869928,0.93937033,0.9528337
